status	additions	deletions	path
added	20	0	llvm/test/MC/RISCV/rv32xfrep-valid.s
added	5	0	llvm/test/MC/RISCV/rv32xmempool-invalid.s
added	10	0	llvm/test/MC/RISCV/rv32xmempool-valid.s
added	30	0	llvm/test/MC/RISCV/rv32xssr-valid.s
added	10	0	llvm/test/MC/RISCV/xpulp/xpulp-asm-parser.s
added	73	0	llvm/test/MC/RISCV/xsmallfloat/rv32xsflt-valid.s
added	76	0	llvm/test/MC/RISCV/xsmallfloat/rv32xsflt-xfalthalf-valid.s
added	88	0	llvm/test/MC/RISCV/xsmallfloat/rv32xsflt-xfaltquarter-valid.s
added	8	0	llvm/test/MC/RISCV/xsmallfloat/rv32xsflt-xfauxalthalf-valid.s
added	8	0	llvm/test/MC/RISCV/xsmallfloat/rv32xsflt-xfauxaltquarter-valid.s
added	8	0	llvm/test/MC/RISCV/xsmallfloat/rv32xsflt-xfauxhalf-valid.s
added	8	0	llvm/test/MC/RISCV/xsmallfloat/rv32xsflt-xfauxquarter-valid.s
added	8	0	llvm/test/MC/RISCV/xsmallfloat/rv32xsflt-xfauxvecalthalf-valid.s
added	8	0	llvm/test/MC/RISCV/xsmallfloat/rv32xsflt-xfauxvecaltquarter-valid.s
added	8	0	llvm/test/MC/RISCV/xsmallfloat/rv32xsflt-xfauxvechalf-valid.s
added	8	0	llvm/test/MC/RISCV/xsmallfloat/rv32xsflt-xfauxvecquarter-valid.s
added	8	0	llvm/test/MC/RISCV/xsmallfloat/rv32xsflt-xfauxvecsingle-valid.s
added	16	0	llvm/test/MC/RISCV/xsmallfloat/rv32xsflt-xfexpauxvecalthalf-valid.s
added	28	0	llvm/test/MC/RISCV/xsmallfloat/rv32xsflt-xfexpauxvecaltquarter-valid.s
added	16	0	llvm/test/MC/RISCV/xsmallfloat/rv32xsflt-xfexpauxvechalf-valid.s
added	28	0	llvm/test/MC/RISCV/xsmallfloat/rv32xsflt-xfexpauxvecquarter-valid.s
added	93	0	llvm/test/MC/RISCV/xsmallfloat/rv32xsflt-xfquarter-frm.s
added	80	0	llvm/test/MC/RISCV/xsmallfloat/rv32xsflt-xfquarter-valid.s
added	4	0	llvm/test/MC/RISCV/xsmallfloat/rv32xsflt-xfvecalthalf-invalid.s
added	112	0	llvm/test/MC/RISCV/xsmallfloat/rv32xsflt-xfvecalthalf-valid.s
added	8	0	llvm/test/MC/RISCV/xsmallfloat/rv32xsflt-xfvecaltquarter-invalid.s
added	128	0	llvm/test/MC/RISCV/xsmallfloat/rv32xsflt-xfvecaltquarter-valid.s
added	4	0	llvm/test/MC/RISCV/xsmallfloat/rv32xsflt-xfvechalf-invalid.s
added	112	0	llvm/test/MC/RISCV/xsmallfloat/rv32xsflt-xfvechalf-valid.s
added	11	0	llvm/test/MC/RISCV/xsmallfloat/rv32xsflt-xfvecquarter-invalid.s
added	140	0	llvm/test/MC/RISCV/xsmallfloat/rv32xsflt-xfvecquarter-valid.s
added	9	0	llvm/test/MC/RISCV/xsmallfloat/rv32xsflt-xfvecsingle-invalid.s
added	116	0	llvm/test/MC/RISCV/xsmallfloat/rv32xsflt-xfvecsingle-valid.s
modified	26	0	llvm/unittests/Support/RISCVISAInfoTest.cpp
